cost_id,usage_id,job_id,asset_id,cost_date,cost_category,amount_cents,gst_input_cents,tax_code,bas_g11_cents,bas_1b_cents,supplier_name,withholding_cents
COST000001,USE00642,JOB0019,BC001,2026-01-01,Fuel,20452,2045,GST,20452,2045,Caltex,0
COST000002,USE00642,JOB0019,BC001,2026-01-01,Labour,48590,0,N-T,0,0,Grounded Fleet Payroll,0
COST000003,USE00642,JOB0019,BC001,2026-01-01,Maintenance,67154,6715,GST,67154,6715,CAT Parts,0
COST000004,USE00642,JOB0019,BC001,2026-01-01,Transport/float,76403,7640,GST,76403,7640,Metro Heavy Haulage,0
COST000005,USE00635,JOB0019,LD002,2026-01-01,Fuel,54546,5455,GST,54546,5455,BP Australia,0
COST000006,USE00635,JOB0019,LD002,2026-01-01,Labour,38544,0,N-T,0,0,Grounded Fleet Payroll,0
COST000007,USE00635,JOB0019,LD002,2026-01-01,Maintenance,87029,8703,GST,87029,8703,Komatsu Service,0
COST000008,USE00635,JOB0019,LD002,2026-01-01,Transport/float,112895,11290,GST,112895,11290,VIC Tilt Tray,0
COST000009,USE00643,JOB0019,BC001,2026-01-02,Fuel,39314,3931,GST,39314,3931,Caltex,0
COST000010,USE00643,JOB0019,BC001,2026-01-02,Labour,47602,0,N-T,0,0,Grounded Fleet Payroll,0
COST000011,USE00636,JOB0019,LD002,2026-01-02,Fuel,54602,5460,GST,54602,5460,Caltex,0
COST000012,USE00636,JOB0019,LD002,2026-01-02,Labour,58800,0,N-T,0,0,Grounded Fleet Payroll,0
COST000013,USE00636,JOB0019,LD002,2026-01-02,Maintenance,65594,6559,GST,65594,6559,Local Diesel Repairs,0
COST000014,USE00636,JOB0019,LD002,2026-01-02,E-tag,8326,833,GST,8326,833,Linkt,0
COST000015,USE00644,JOB0019,BC001,2026-01-03,Fuel,34638,3464,GST,34638,3464,Ampol,0
COST000016,USE00644,JOB0019,BC001,2026-01-03,Labour,45711,0,N-T,0,0,Grounded Fleet Payroll,0
COST000017,USE00637,JOB0019,LD002,2026-01-03,Fuel,58584,5858,GST,58584,5858,BP Australia,0
COST000018,USE00637,JOB0019,LD002,2026-01-03,Labour,38836,0,N-T,0,0,Grounded Fleet Payroll,0
COST000019,USE00645,JOB0019,BC001,2026-01-05,Fuel,25434,2543,GST,25434,2543,Ampol,0
COST000020,USE00645,JOB0019,BC001,2026-01-05,Labour,60179,0,N-T,0,0,Grounded Fleet Payroll,0
COST000021,USE00638,JOB0019,LD002,2026-01-05,Fuel,27961,2796,GST,27961,2796,BP Australia,0
COST000022,USE00638,JOB0019,LD002,2026-01-05,Labour,40912,0,N-T,0,0,Grounded Fleet Payroll,0
COST000023,USE00638,JOB0019,LD002,2026-01-05,Maintenance,82686,8269,GST,82686,8269,Local Diesel Repairs,0
COST000024,USE00646,JOB0019,BC001,2026-01-06,Fuel,15448,1545,GST,15448,1545,BP Australia,0
COST000025,USE00646,JOB0019,BC001,2026-01-06,Labour,55312,0,N-T,0,0,Grounded Fleet Payroll,0
COST000026,USE00639,JOB0019,LD002,2026-01-06,Fuel,34168,3417,GST,34168,3417,Caltex,0
COST000027,USE00639,JOB0019,LD002,2026-01-06,Labour,59401,0,N-T,0,0,Grounded Fleet Payroll,0
