revenue_id,usage_id,job_id,asset_id,equipment_type,usage_date,actual_hours,billable_hours,rate_used_cents,rate_source,hire_revenue_cents,float_applied_cents,total_revenue_cents,gst_output_cents,tax_code,bas_g1_cents,bas_1a_cents
REV00001,USE00642,JOB0019,BC001,Bobcat+8T Tipper,2026-01-01,7.0,8.0,14500,Rate card,116000,50000,166000,16600,GST,166000,16600
REV00002,USE00635,JOB0019,LD002,Loader 4m,2026-01-01,9.5,9.5,18000,Rate card,171000,70000,241000,24100,GST,241000,24100
REV00003,USE00643,JOB0019,BC001,Bobcat+8T Tipper,2026-01-02,8.0,8.0,14500,Rate card,116000,0,116000,11600,GST,116000,11600
REV00004,USE00636,JOB0019,LD002,Loader 4m,2026-01-02,10.0,10.0,18000,Rate card,180000,0,180000,18000,GST,180000,18000
REV00005,USE00644,JOB0019,BC001,Bobcat+8T Tipper,2026-01-03,9.5,9.5,14500,Rate card,137750,0,137750,13775,GST,137750,13775
REV00006,USE00637,JOB0019,LD002,Loader 4m,2026-01-03,7.5,8.0,18000,Rate card,144000,0,144000,14400,GST,144000,14400
REV00007,USE00645,JOB0019,BC001,Bobcat+8T Tipper,2026-01-05,8.5,8.5,14500,Rate card,123250,0,123250,12325,GST,123250,12325
REV00008,USE00638,JOB0019,LD002,Loader 4m,2026-01-05,11.0,11.0,18000,Rate card,198000,0,198000,19800,GST,198000,19800
REV00009,USE00646,JOB0019,BC001,Bobcat+8T Tipper,2026-01-06,8.5,8.5,14500,Rate card,123250,0,123250,12325,GST,123250,12325
REV00010,USE00639,JOB0019,LD002,Loader 4m,2026-01-06,9.5,9.5,18000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00011,USE00647,JOB0019,BC001,Bobcat+8T Tipper,2026-01-07,9.5,9.5,14500,Rate card,137750,0,137750,13775,GST,137750,13775
REV00012,USE00640,JOB0019,LD002,Loader 4m,2026-01-07,9.5,9.5,18000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00013,USE00765,JOB0023,EX001,13T Excavator,2026-01-07,7.5,8.0,14000,Rate card,112000,50000,162000,16200,GST,162000,16200
REV00014,USE00769,JOB0023,EX004,35T Excavator,2026-01-07,9.0,9.0,17000,Rate card,153000,70000,223000,22300,GST,223000,22300
REV00015,USE00648,JOB0019,BC001,Bobcat+8T Tipper,2026-01-08,10.0,10.0,14500,Rate card,145000,0,145000,14500,GST,145000,14500
REV00016,USE00641,JOB0019,LD002,Loader 4m,2026-01-08,9.0,9.0,18000,Rate card,162000,0,162000,16200,GST,162000,16200
REV00017,USE00766,JOB0023,EX001,13T Excavator,2026-01-08,9.0,9.0,14000,Rate card,126000,0,126000,12600,GST,126000,12600
REV00018,USE00770,JOB0023,EX004,35T Excavator,2026-01-08,9.0,9.0,17000,Rate card,153000,0,153000,15300,GST,153000,15300
REV00019,USE00767,JOB0023,EX001,13T Excavator,2026-01-09,8.5,8.5,14000,Rate card,119000,0,119000,11900,GST,119000,11900
REV00020,USE00771,JOB0023,EX004,35T Excavator,2026-01-09,9.0,9.0,17000,Rate card,153000,0,153000,15300,GST,153000,15300
REV00021,USE00768,JOB0023,EX001,13T Excavator,2026-01-10,6.5,8.0,14000,Rate card,112000,0,112000,11200,GST,112000,11200
REV00022,USE00772,JOB0023,EX004,35T Excavator,2026-01-10,8.0,8.0,17000,Rate card,136000,0,136000,13600,GST,136000,13600
REV00023,USE00131,JOB0005,BC001,Bobcat+8T Tipper,2026-01-12,7.5,8.0,13982,Override,111856,50000,161856,16186,GST,161856,16186
REV00024,USE00109,JOB0005,CP001,Compactor 815F,2026-01-12,7.5,7.5,23000,Rate card,172500,80000,252500,25250,GST,252500,25250
REV00025,USE00098,JOB0005,DT001,Dump Truck 30T,2026-01-12,8.0,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00026,USE00120,JOB0005,EX004,35T Excavator,2026-01-12,10.5,10.5,17000,Rate card,178500,70000,248500,24850,GST,248500,24850
REV00027,USE00132,JOB0005,BC001,Bobcat+8T Tipper,2026-01-13,8.5,8.5,13982,Override,118847,0,118847,11885,GST,118847,11885
REV00028,USE00110,JOB0005,CP001,Compactor 815F,2026-01-13,11.5,11.5,23000,Rate card,264500,0,264500,26450,GST,264500,26450
REV00029,USE00099,JOB0005,DT001,Dump Truck 30T,2026-01-13,9.5,9.5,18500,Rate card,175750,0,175750,17575,GST,175750,17575
REV00030,USE00121,JOB0005,EX004,35T Excavator,2026-01-13,9.0,9.0,17000,Rate card,153000,0,153000,15300,GST,153000,15300
REV00031,USE00992,JOB0030,CP001,Compactor 815F,2026-01-13,8.5,8.5,23000,Rate card,195500,80000,275500,27550,GST,275500,27550
REV00032,USE01002,JOB0030,DT001,Dump Truck 30T,2026-01-13,10.5,10.5,18500,Rate card,194250,70000,264250,26425,GST,264250,26425
REV00033,USE01012,JOB0030,EX002,20T Excavator,2026-01-13,11.0,11.0,15000,Rate card,165000,60000,225000,22500,GST,225000,22500
